Color,Highlighted Text
YELLOW,knelt
YELLOW,contemplate
YELLOW,banks
YELLOW,DUSK
YELLOW,herd
YELLOW,sycamore
YELLOW,sacristy
YELLOW, 
YELLOW,planks
YELLOW,flock
YELLOW,swept
YELLOW,crook
YELLOW,bound
YELLOW,muttered
YELLOW,accustomed
YELLOW,prodded
YELLOW,proprietor
YELLOW,sheared
YELLOW, 
YELLOW,	
YELLOW,"WOOL,"
YELLOW,Andalusia
YELLOW,vaguely
YELLOW,mumbled
YELLOW,raven
YELLOW,uneasy
YELLOW,carefree wandering
YELLOW,urged
YELLOW,pastures
YELLOW,content
YELLOW,nourishment
YELLOW,zenith
YELLOW,withstood
YELLOW,terrain
YELLOW,seminary
YELLOW,pouch
YELLOW,gaze
YELLOW,TINGED
YELLOW,hence
YELLOW,sought
YELLOW,mused
YELLOW,interpreted
YELLOW,recurrent
YELLOW,drought
YELLOW,irritated
YELLOW,burial
YELLOW,dryly
YELLOW,persisted
YELLOW,tempted
YELLOW,irritating
YELLOW,leafing
YELLOW,straits
YELLOW,chanting
YELLOW,cape
YELLOW, 
YELLOW,awed
YELLOW,yearn
YELLOW,realize
YELLOW,textile
YELLOW,tend
YELLOW,fruitless
YELLOW,embedded
YELLOW,ewes
YELLOW,pastures
YELLOW,levanter
YELLOW,accustomed
YELLOW,veiled
YELLOW,omen
YELLOW,whets
YELLOW,crickets
YELLOW,grasshoppers
YELLOW,clovers
YELLOW,brilliance
YELLOW,tapestries
YELLOW, 
YELLOW,parchments
YELLOW,entrusted
YELLOW,ceilings
YELLOW,abashed
YELLOW,vanity
YELLOW,"infidels,"
YELLOW,strait
YELLOW,shrub
YELLOW, 
YELLOW,retaliate
YELLOW,stalls
YELLOW,midst
YELLOW,scabbard
YELLOW,embossed
YELLOW,encrusted
YELLOW,aroma
YELLOW,colony
YELLOW,dis-mantled
YELLOW,departure
YELLOW,trajectory
YELLOW,continent
YELLOW,flee
YELLOW,teeming
YELLOW,WAKEFULNESS
YELLOW,erecting
YELLOW,infre-quent
YELLOW, 
YELLOW,cleanse
YELLOW,profound
YELLOW,grouch
YELLOW,ruefully
YELLOW,devout
YELLOW,pilgrimage
YELLOW,cobbler
YELLOW,mending
YELLOW,disembark
YELLOW,seducer
YELLOW,im-mense
YELLOW, 
YELLOW,startled
YELLOW,corral
YELLOW,profoundly
YELLOW,interruption
YELLOW,divination
YELLOW,encyclopedia
YELLOW,capricious
YELLOW,bugle
YELLOW,nostalgia
YELLOW,intuitive
YELLOW,hooves
YELLOW,freight
YELLOW,treacherous
YELLOW,detours
YELLOW,orchard
YELLOW,evaporates
YELLOW, 
YELLOW,detours
YELLOW,nocturnal cold
YELLOW,encampment
YELLOW,governs
YELLOW,MER
YELLOW,-
YELLOW,cury
YELLOW,mani-festation
YELLOW,mania
YELLOW,sliver
YELLOW,incredulous
YELLOW,obscure
YELLOW,contemplating
YELLOW,groan
YELLOW,herald
YELLOW,precautions
YELLOW,accommodations
YELLOW,sentinels
YELLOW,chieftains
YELLOW,hasty
YELLOW,impulsively
YELLOW,clamored
YELLOW,consents
YELLOW,exultant
YELLOW,vessel
YELLOW,exerted
YELLOW,averting
YELLOW,ravines
YELLOW,furnace
YELLOW, 
YELLOW,hypnotized
YELLOW,hawks
YELLOW,drifted
YELLOW,fleeting
YELLOW,mirages
YELLOW,materialized
YELLOW,heed
YELLOW,perceived
YELLOW,plunged
YELLOW,twigs
YELLOW,assortment
YELLOW,bade
YELLOW,em-broidered
YELLOW, 
YELLOW,laden
YELLOW,habitu-ated
YELLOW,im-perceptibly
YELLOW, 
YELLOW,famine
YELLOW,capricious
YELLOW,departure
YELLOW, 
YELLOW,Astride
YELLOW,perched
YELLOW, 
YELLOW,scabbard
YELLOW,saddle
YELLOW,immobile
YELLOW,"prognostications,"
YELLOW,brandished
BRIGHT_GREEN,Before 
BRIGHT_GREEN,reached 
BRIGHT_GREEN,point
BRIGHT_GREEN,hundred 
BRIGHT_GREEN,tribesmen 
BRIGHT_GREEN,horizon
BRIGHT_GREEN,entered 
BRIGHT_GREEN,north
BRIGHT_GREEN,expedition
YELLOW,scimitars
YELLOW,intruders
YELLOW,aroma
YELLOW,reiterated
YELLOW,daunting
YELLOW,traitorous
YELLOW,galloped
YELLOW,abruptly
YELLOW,bent
YELLOW,leaped
YELLOW,frantically
YELLOW,scimitar
